分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始,終了,保育短時間（８時間） 開始,終了,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
保育所,ブルーノの森保育園,（学）,60,北青木２－９－２４,411-8048,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
保育所,神戸住吉保育園,(福),80,住吉宮町６－１－２３,858-6080,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
家庭的保育事業,澤田　赤ちゃんホーム,（個人）,4,御影石町２－１１－５,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
家庭的保育事業,中村　赤ちゃんホーム,（個人）,4,岡本８,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
小規模保育事業,小規模保育園光の子リジョイス,（福）,12,向洋町中１－４－１２５ イーストコート4番街１Ｆ,857-1125,生後６か月,２歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,,
小規模保育事業,あおい宙　もとやま,（福）,9,田中町２－１－１ 本山合同宿舎１Ｆ,855-5432,満１歳,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
小規模保育事業,あすの乳児ルーム,（福）,19,本山南町８－６－２６　東神戸センタービル２Ｆ,413-6602,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,,
小規模保育事業,小規模保育園ハピネスファミリー,（一社）,12,向洋町中５－１５ リバーモールウエスト２F,862-3983,満１歳,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
小規模保育事業,茶屋本庄園,（福）,12,本庄町１－８－１３ オルテンシアKOBE１F,413-3336,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
小規模保育事業,キッズクラブ本山南,（医）,19,本山南町８－６－２６ 東神戸センタービル２Ｆ,411-1060,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,
小規模保育事業,チャイルドハート保育サロン甲南園,（株）,14,甲南町３－２－２ ラ・ギャレットビル１F,431-5661,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
小規模保育事業,あおい宙　こうなん,（福）,12,甲南町３－３－２７ ロイヤル甲南１F,436-1233,生後６か月,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
小規模保育事業,RICホープ御影,（株）,19,御影中町４－１－３１ サニーハイツ御影１F,262-1860,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,,
小規模保育事業,御影小規模保育ルーム,（学）,19,御影２－１５－２７,843-2780,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,,
小規模保育事業,はぴふぁみえるあ 小規模保育園 Lino,（一社）,12,向洋町中５－１５　リバーモールウエスト２Ｆ,862-5065,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
小規模保育事業,コスモチャイルド保育園神戸東灘園,(株),19,本山中町１-１-１２　チタンビル１Ｆ,452-0220,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,
小規模保育事業,甲南やまゆり保育園,(医社),19,甲南町３－６－１８　ドゥベル甲南２Ｆ,412-0077,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
小規模保育事業,京進のほいくえんHOPPA東灘園,（株）,12,田中町５－１－１２　東灘スカイマンション1F,262-1347,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,〇,
分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始時間,終了時間,保育短時間（８時間） 開始時間,終了時間,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,幼保連携型認定こども園　はっとこども園,（福）,90＊,摩耶海岸通２－３－１４,805-3810,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　なかはらこども園,（福）,140＊,中原通６－４－５,871-2330,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,認定こども園　六甲道COCORO,（福）,60,琵琶町２－１－２７,882-1541,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
幼保連携型認定こども園,幼保連携型認定こども園　八幡幼稚園・八幡ピジョン保育園,(学),70＊,深田町１－１－３,851-9377,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,認定こども園　高羽COCORO,（福）,90,高徳町５－２－３,855-4137,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　神戸さくら保育園,（福）,70,浜田町２－２－１５,858-8101,生後５７日,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　微笑幼稚園,（学）,10＊,篠原北町３－６ー７,871-2165,３歳児クラス,５歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,,○
幼保連携型認定こども園,幼保連携型認定こども園　光愛児園,（福）,105＊,篠原南町５－３－１５,871-7010,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　光愛児園sun分園,（福）,25,天城通１－２－１１,802-1118,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,
幼保連携型認定こども園,幼保連携型認定こども園　青谷愛児園,（福）,90＊,青谷町２－１－９,871-9553,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　おおいしこども園,（福）,70＊,大石北町３－１２,881-9470,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　オリンピア都こども園,（福）,90＊,六甲町５－２－１２,805-5165,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型　めばえの園認定こども園,（福）,90,灘南通４－４－２,806-3333,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型　めばえの園認定こども園すみれ分園,（福）,12,灘北通８－６－１６,802-2225,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,,
保育所,灘保育所,（公立）,110,新在家南町５－１３－１５,861-3844,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,西灘保育所,（公立）,120,岩屋北町２－５－２９,861-2769,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,石屋川保育所,（公立）,100,大和町４－４－１８,854-1707,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,倉石保育所,（公立）,90,倉石通４－１－１０,801-2250,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,○,○
保育所,やはた桜保育所,（公立）,144,八幡町２－１－１,821-5271,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,やはた桜保育所鶴甲分室,（公立）,30,鶴甲１－３－１３,821-1900,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,誠佛保育園,（宗）,60,徳井町５－１－２４,851-1944,満１歳,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,同朋保育園,（福）,70,篠原北町４－８－１,861-1624,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
保育所,ゆりか保育園,（福）,90,神ノ木通２－２－９,871-0132,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,六甲ゆりかご保育園,（福）,60,友田町２－５－１,858-7400,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,花音つばさ保育園,（福）,80,城内通１－６－３２,801-0283,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,琵琶COCORO保育園,（福）,60,琵琶町２－４－４,881-7113,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
家庭的保育事業,赤ちゃんホーム　なだのみ,(株),5,岩屋北町１－４－１６　ケイテムビル１Ｆ,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,18:00,,
家庭的保育事業,赤ちゃんホーム　つぼみ,(個人),3,篠原中町３－４－６　ダイヤデート１Ｆ,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,18:00,,
小規模保育事業,たんぽぽ,（福）,12,六甲町１－２－５ 六甲ハーモニーガーデン１F,843-5919,満１歳,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,
小規模保育事業,はらだ乳児園,（福）,12,原田通２－２－５ 臼井ハイツ王子１Ｆ,855-5901,満１歳,２歳児クラス,7:30,18:30,9:00,17:00,7:30,18:30,,
小規模保育事業,コアラ愛児園,（福）,19,泉通６－３－１０ モンテ王子１Ｆ,855-4844,満１歳,２歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,,
小規模保育事業,めばえすくすくルーム,（福）,12,灘南通３－１－５ ミロードメゾン１Ｆ,803-2222,満１歳,２歳児クラス,7:30,18:30,9:00,17:00,7:30,18:30,,
小規模保育事業,小規模保育園　六甲道,（福）,19,永手町４－１－１　ＪＲ六甲道駅構内,857-9110,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,,
小規模保育事業,保育ルーム ちいさなCOCORO,（福）,14,備後町５－３－１ ウェルブ六甲道１番街１F,851-1201,生後６か月,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
小規模保育事業,京進のほいくえんHOPPA灘園,（株）,19,都通２－１－２６ 摩耶コート壱番館１F,262-1033,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,○,
小規模保育事業,キッズパートナー王子公園,（株）,19,岸地通１－５－６　コラボK-Ⅰ１F,806-2212,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,
小規模保育事業,ポピンズ小規模保育園HAT神戸,（株）,19,摩耶海岸通２－３－１３　HAT神戸灘の浜１３番館１F,862-9393,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,,
小規模保育事業,神戸六甲キッズバルーン,(株),14,六甲町１－１－６　アベニュー六甲１F,862-8616,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,
小規模保育事業,くじら保育園神戸六甲園,(株),19,神ノ木通３－６－２８　グランサイト六甲２F,855-7230,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,,
分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始時間,終了時間,保育短時間（８時間） 開始時間,終了時間,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,幼保連携型みのり認定こども園,（福）,100＊,脇浜町２－５－１３,221-4154,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
