所在区,分類,施設名,組織,認可定員(全体),所在地,電話番号,受入開始年齢 満3歳～,受入開始年齢 3歳～,預かり保育 開始時間（朝）,預かり保育 終了時間（夕）,園バス,給食,未就園児教室 受入開始年齢 １歳～,未就園児教室 受入開始年齢 ２歳～,園庭開放
西区,幼稚園（私学助成制度）,高羽美賀多台幼稚園,(学),305,美賀多台６－２,992-7777,○,,７：００,１９：００,○,週２日,-,○,○
西区,幼稚園型認定こども園,認定こども園　いぶき幼稚園,(学),453,井吹台東町４－１９,997-0831,○,,７：００,１９：００,○,週５日,-,○,○
西区,幼稚園（私学助成制度）,西神戸YMCA幼稚園,(学),330,井吹台西町４－５,997-7705,,○,-,１８：００,○,週３日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　岩岡こども園,(福),155,岩岡町岩岡１１４４－９,967-0301,○,,７：３０,１８：００,-,週６日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　おっこう山,(福),105,神出町五百蔵１４２－４００,965-1445,○,,７：３０,１８：３０,-,週６日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　あさひ保育園,(福),255,桜が丘東町１－３－１,994‐0170,○,,７：００,２０：００,-,週６日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　YMCA保育園,(福),133,学園西町５丁目４,794-3901,,○,８：３０,１６：３０,-,週５日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　なごみ保育園,（福）,99,伊川谷町上脇字平山９５２－１,978-0753,,○,７：００,１８：００,-,週６日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　西神戸YMCA保育園,(福),73,学園西町1丁目ー1-2,792-1011,,○,８：３０,１６：３０,-,週５日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　神戸潤和保育園,(福),75,伊川谷町潤和１５３８－１,976-5700,○,,７：００,１９：００,-,週６日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　神戸学園都市YMCAこども園,(福),83,学園東町２－１－３,791-2955,,○,８：３０,１６：３０,-,週５日,-,-,○
西区,幼保連携型認定こども園,認定こども園　ななほし保育園,(福),75,池上１-１３-１１,976-7784,○,,７：００,１９：００,-,週５日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　あゆみ幼児園,（福）,135,糀台３－３２－７,991-3100,○,,７：００,１８：００,-,週６日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　同朋にこにこ園,(福),185,井吹台西町４－６,996-1525,○,,７：００,１８：００,-,週６日,-,-,〇
西区,幼保連携型認定こども園,幼保連携型認定こども園　わらべ保育園,（福）,86,宮下３－１２－１３,921-0740,,○,８：００,１６：００,-,週５日,-,-,〇
西区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　弁天保育園,（福）,93,伊川谷町有瀬５５５,974-1750,,○,８：００,１８：００,-,週６日,-,-,〇
西区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　平野保育園,（福）,165,平野町芝崎２９８－１,961-0840,,○,８：００,１６：００,-,週５日,-,-,〇
西区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　竹の台保育園,（福）,154,竹の台２－２０－２,992-0277,○,,７：００,１９：００,-,週６日,-,-,〇
西区,幼保連携型認定こども園,（仮称） 幼保連携型認定こども園　ひまわりこども園,（福）,125,伊川谷町上脇２４,978-0220,,○,７：００,１９：００,-,週６日,-,-,〇
