地区,分類,施設名,組織,利用定員（２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
北区,家庭的保育事業,赤ちゃんホームもものみ,私立,5,×,,,,,,0,,,,,,,0
北区,小規模保育事業,小規模保育園小倉台ひまわり,私立,19,×,×,×,,,,1,0,1,,,,,2
北区,小規模保育事業,小規模保育園 北鈴どんぐり園,私立,12,×,×,×,,,,0,1,0,,,,,1
北区,小規模保育事業,アートチャイルドケア神戸谷上,私立,19,×,×,○,,,,0,0,0,,,,,0
北区,小規模保育事業,小規模保育園 はるのみ,私立,12,×,×,×,,,,0,0,0,,,,,0
北区,事業所内保育事業,さくら保育園,私立 2,20（内地域枠5）,×,×,×,,,,0,0,0,,,,,0
北須磨,幼保連携型認定こども園,幼保連携型認定こども園 のぞみ保育園,私立,170*,×,×,×,×,×,×,6,10,8,7,1,2,,34
北須磨,幼保連携型認定こども園,幼保連携型認定こども園 若竹こども園,私立,120*,×,×,×,×,○,○,1,2,0,2,0,0,,5
北須磨,幼保連携型認定こども園,幼保連携型認定こども園 名谷みどりこども園,私立,120*,×,×,×,×,×,×,1,3,2,2,1,0,,9
北須磨,保育所,菅の台保育所,公立,133,×,×,×,○,×,×,0,3,1,0,0,0,,4
北須磨,保育所,竜が台保育所,公立,139,×,×,×,×,×,○,5,5,4,1,0,0,,15
北須磨,保育所,北須磨保育園,私立,110,×,×,×,×,×,×,1,6,2,3,3,4,,19
北須磨,保育所,あじさい保育園,私立,60,×,×,×,×,×,×,0,4,1,2,0,0,,7
北須磨,保育所,やまびこ保育園,私立,150,○,×,×,×,×,×,1,8,0,1,0,1,,11
北須磨,保育所,くすの木保育園,私立,180,×,×,×,×,×,×,17,9,6,3,0,1,,36
北須磨,保育所,北須磨第２保育園,私立,80,×,×,×,×,×,×,3,4,2,1,0,0,,10
北須磨,家庭的保育事業,堀切 赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
灘区,幼保連携型認定こども園,幼保連携型認定こども園 はっとこども園,私立,90＊,×,×,×,×,×,×,2,3,3,2,0,1,,11
灘区,幼保連携型認定こども園,幼保連携型認定こども園 なかはらこども園,私立,140＊,○,×,×,×,×,×,3,6,2,6,0,1,,18
灘区,幼保連携型認定こども園,認定こども園 六甲道COCORO,私立,60,×,×,×,×,○,○,0,0,0,2,0,0,,2
灘区,幼保連携型認定こども園,幼保連携型認定こども園 八幡幼稚園・八幡ピジョン保育園,私立,70＊,×,×,×,×,×,×,1,2,3,2,2,0,,10
灘区,幼保連携型認定こども園,認定こども園 高羽COCORO,私立,90,×,×,×,×,○,×,6,1,0,1,0,0,,8
灘区,幼保連携型認定こども園,幼保連携型認定こども園 神戸さくら保育園,私立,70,×,×,×,×,×,×,0,0,0,1,0,0,,1
灘区,幼保連携型認定こども園,幼保連携型認定こども園 微笑幼稚園,私立,10＊,,,,×,×,×,,,,0,0,0,,0
灘区,幼保連携型認定こども園,幼保連携型認定こども園 光愛児園,私立,105＊,×,×,×,×,×,×,1,4,1,4,0,0,,10
灘区,幼保連携型認定こども園,幼保連携型認定こども園 光愛児園sun分園 ※１,私立,25,×,×,×,,,,0,3,0,,,,,3
灘区,幼保連携型認定こども園,幼保連携型認定こども園 青谷愛児園,私立,90＊,×,×,×,×,×,×,0,2,1,3,2,0,,8
灘区,幼保連携型認定こども園,幼保連携型認定こども園 おおいしこども園,私立,70＊,×,×,×,×,×,○,2,3,0,8,0,0,,13
灘区,幼保連携型認定こども園,幼保連携型認定こども園 オリンピア都こども園,私立,90＊,×,×,×,×,×,×,2,3,4,0,1,1,,11
灘区,幼保連携型認定こども園,幼保連携型 めばえの園認定こども園,私立,90,×,×,×,×,×,×,1,11,8,2,3,1,,26
灘区,幼保連携型認定こども園,幼保連携型 めばえの園認定こども園すみれ分園 ※２,私立,12,×,×,,,,,0,3,,,,,,3
灘区,幼保連携型認定こども園,ゆりか認定こども園,私立,90＊,×,×,×,×,×,×,0,2,3,0,0,0,,5
灘区,幼保連携型認定こども園,幼保連携型認定こども園 六甲ゆりかごこども園,私立,60＊,×,×,×,×,○,○,1,2,0,0,0,0,,3
灘区,保育所,灘保育所,公立,110,○,×,○,×,×,○,2,2,0,3,0,0,,7
灘区,保育所,西灘保育所,公立,120,×,×,×,×,×,○,4,13,0,7,0,0,,24
灘区,保育所,石屋川保育所,公立,100,×,×,×,×,○,○,0,3,2,1,1,0,,7
灘区,保育所,倉石保育所,公立,90,×,×,×,×,×,×,0,5,0,3,0,0,,8
