地区,分類,施設名,組織,利用定員（２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
北神地区,幼保連携型認定こども園,幼保連携型認定こども園　キッズキャンパス,私立,80*,×,×,×,×,×,×,4,7,2,4,1,0,,18
北神地区,幼保連携型認定こども園,幼保連携型認定こども園　八多保育園,私立,140,○,×,×,×,×,×,1,1,3,0,0,0,,5
北神地区,幼保連携型認定こども園,幼保連携型認定こども園　星の子こども園,私立,150*,×,×,×,○,○,○,2,3,3,0,0,0,,8
北神地区,幼稚園型認定こども園,認定こども園　六甲藤原台幼稚園,私立,70*,,,×,○,×,×,,,2,0,1,1,,4
北神地区,保育所,からと保育所,公立,100,×,○,○,×,○,○,0,1,0,0,0,0,,1
北神地区,保育所,道場保育園,私立,90,○,×,×,×,×,×,1,0,2,0,3,0,,6
北神地区,保育所,有馬保育園,私立,90,○,×,×,×,×,×,1,0,1,0,0,0,,2
北神地区,保育所,大池保育園,私立,70,×,×,×,×,×,×,4,2,5,2,0,1,,14
北神地区,保育所,ひとみ保育園,私立,120,×,×,×,×,×,×,3,0,1,0,1,0,,5
北神地区,保育所,オリンピア神戸北保育園,私立,130,×,○,×,×,×,×,0,0,2,1,0,1,,4
北神地区,家庭的保育事業,岡田　赤ちゃんホーム,私立,5,○,,,,,,0,,,,,,,0
北神地区,小規模保育事業,いつくしみ愛児園,私立,19,×,×,×,,,,0,0,0,,,,,0
北神地区,小規模保育事業,しんてつ・おかば園,私立,12,,×,×,,,,,0,0,,,,,0
北神地区,小規模保育事業,パンダこうとく保育園,私立,12,×,×,×,,,,0,0,0,,,,,0
北神地区,小規模保育事業,小規模保育　かがやき保育園,私立,12,○,○,○,,,,0,0,0,,,,,0
北神地区,小規模保育事業,こぐまプリスクール北神戸園,私立,16,×,×,×,,,,0,0,0,,,,,0
北神地区,事業所内保育事業,いちご保育園（恒生病院）,私立,19（内地域枠5）,×,×,×,,,,0,0,0,,,,,0
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園　宝地院保育園,私立,130*,×,×,×,×,×,×,2,6,5,0,0,0,,13
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園　大同保育園,私立,150*,×,×,×,×,○,×,0,0,0,0,0,0,,0
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園　モーツァルト兵庫こども園,私立,90*,×,×,×,×,×,○,5,6,8,1,1,0,,21
兵庫区,幼保連携型認定こども園,幼保連携型認定こども園　神港みどり幼稚園,私立,30*,,,,×,○,×,,,,1,0,0,,1
兵庫区,保育所,運南保育所,公立,54,,×,○,○,○,○,,0,0,0,0,0,,0
兵庫区,保育所,松原保育所,公立,120,×,×,○,×,○,○,2,3,0,0,0,0,,0
兵庫区,保育所,羽坂保育所,公立,106,×,×,×,×,×,○,8,2,3,1,0,0,,14
兵庫区,保育所,平野保育所,公立,124,○,×,×,×,×,○,3,1,0,0,0,0,,4
兵庫区,保育所,小河保育所,公立,73,×,×,○,×,×,×,1,4,0,1,0,0,,6
兵庫区,保育所,ゆりかご保育園,私立,90,○,×,○,×,○,○,2,0,0,0,0,0,,2
兵庫区,保育所,本願寺派湊川保育園,私立,60,×,×,×,○,○,○,1,1,1,0,0,0,,3
兵庫区,保育所,神徳館保育所,私立,70,○,×,○,○,○,○,0,0,0,1,0,0,,1
兵庫区,保育所,ルンビニー愛児園,私立,90,○,×,×,×,×,○,1,4,2,1,0,0,,8
兵庫区,保育所,ちびくろ保育園,私立,60,○,×,×,×,×,×,0,1,0,0,0,0,,1
兵庫区,保育所,御崎保育所,私立,100,○,×,×,×,○,○,1,0,0,0,0,0,,1
兵庫区,保育所,兵庫保育園,私立,90,×,×,×,×,×,×,2,2,2,0,0,1,,7
兵庫区,家庭的保育事業,平岡　赤ちゃんホーム,私立,5,×,,,,,,0,,,,,,,0
兵庫区,家庭的保育事業,藪本　赤ちゃんホーム,私立,5,×,,,,,,0,,,,,,,0
兵庫区,家庭的保育事業,久留島家庭託児所,私立,3,,×,×,,,,,0,0,,,,,0
