地区,分類,施設名,組織,利用定員（２・３号）,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,,合計
北区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　みどりこども園,私立,110*,3,22,4,3,1,1,,34
北区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　鈴蘭台北町こども園,私立,90,2,11,1,5,1,1,,21
北区,幼稚園型認定こども園,認定こども園　鈴蘭台幼稚園,私立,70*,,,1,2,0,0,,3
北区,幼稚園型認定こども園,認定こども園　ひよどり台幼稚園,私立,10*,,,,1,0,0,,1
北区,幼稚園型認定こども園,認定こども園　正英幼稚園,私立,50*,,,9,3,9,3,,24
北区,保育所,桜の宮保育所,公立,136,0,10,1,5,1,0,,17
北区,保育所,君影保育所,公立,69,1,1,0,1,0,0,,3
北区,保育所,鈴蘭台西町保育所,公立,54,,1,0,0,0,0,,1
北区,保育所,ひよどり台保育所,公立,110,1,3,1,0,1,0,,6
北区,保育所,鈴蘭台南町保育所,公立,120,4,3,1,3,2,0,,13
北区,保育所,鈴蘭台保育園,私立,50,,1,0,0,0,0,,1
北区,保育所,太陽の子保育園,私立,120,5,7,1,2,0,0,,15
北区,保育所,頌栄保育園,私立,90,3,2,1,1,0,1,,8
北区,保育所,谷上保育園　　※分園を含む,私立,110,3,15,1,9,1,0,,29
北区,保育所,すずらんキッズ保育園,私立,30,2,5,1,,,,,8
北区,保育所,西鈴蘭台頌栄保育園,私立,120,2,10,1,2,0,1,,16
北区,保育所,山のまち保育園,私立,100,7,8,0,4,0,0,,19
北区,家庭的保育事業,村上　赤ちゃんホーム,私立,5,2,,,,,,,2
北区,家庭的保育事業,船引　赤ちゃんホーム,私立,5,0,,,,,,,0
北区,小規模保育事業,小規模保育園小倉台ひまわり,私立,19,0,0,0,,,,,0
北区,小規模保育事業,小規模保育園　北鈴どんぐり園,私立,12,1,3,1,,,,,5
北区,小規模保育事業,アートチャイルドケア神戸谷上,私立,19,0,1,0,,,,,1
北区,事業所内保育事業,さくら保育園,私立,20（内地域枠5）,0,0,0,,,,,0
北須磨,幼保連携型認定こども園,幼保連携型認定こども園　のぞみ保育園,私立,170*,3,10,4,4,3,4,,28
北須磨,幼保連携型認定こども園,幼保連携型認定こども園　若竹保育園,私立,120*,1,2,0,0,2,0,,5
北須磨,幼保連携型認定こども園,幼保連携型認定こども園　名谷みどりこども園,私立,120*,1,27,8,4,2,2,,44
北須磨,保育所,菅の台保育所,公立,133,0,3,1,0,2,0,,6
北須磨,保育所,竜が台保育所,公立,139,0,10,6,1,1,0,,18
北須磨,保育所,北須磨保育園,私立,110,2,4,1,7,1,5,,20
北須磨,保育所,あじさい保育園,私立,60,2,3,0,1,1,1,,8
北須磨,保育所,やまびこ保育園,私立,150,2,6,3,4,0,3,,18
北須磨,保育所,くすの木保育園,私立,180,2,17,12,6,5,0,,42
北須磨,保育所,北須磨第２保育園,私立,80,2,7,7,0,0,1,,17
北須磨,家庭的保育事業,堀切赤ちゃんホーム,私立,5,1,,,,,,,1
灘区,幼保連携型認定こども園,幼保連携型認定こども園　はっとこども園,私立,90*,1,9,2,0,0,0,,12
灘区,幼保連携型認定こども園,幼保連携型認定こども園　なかはらこども園,私立,140*,3,13,2,5,1,0,,24
灘区,幼保連携型認定こども園,認定こども園　六甲道COCORO,私立,60,0,6,0,2,3,0,,11
灘区,幼保連携型認定こども園,幼保連携型認定こども園　八幡幼稚園・八幡ピジョン保育園,私立,70*,2,7,8,2,2,0,,21
灘区,幼保連携型認定こども園,認定こども園　高羽COCORO,私立,90,2,21,3,8,0,2,,36
灘区,幼保連携型認定こども園,幼保連携型認定こども園　神戸さくら保育園,私立,70,1,9,3,1,0,0,,14
灘区,幼保連携型認定こども園,幼保連携型認定こども園　微笑幼稚園,私立,10*,,,,1,4,0,,5
灘区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　光愛児園　※分園含む　※１,私立,130*,1,17,4,2,1,2,,27
灘区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　青谷愛児園,私立,90*,0,4,8,6,5,1,,24
灘区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　大石こども園,私立,70*,0,14,9,7,1,0,,31
灘区,幼保連携型認定こども園,（仮称）オリンピア都こども園,私立,90*,2,14,5,2,1,0,,24
灘区,幼保連携型認定こども園,（仮称）幼保連携型　めばえの園認定こども園　※分園含む　※２,私立,102,4,12,5,7,0,1,,29
灘区,保育所,灘保育所,公立,110,2,0,2,5,2,0,,11
灘区,保育所,西灘保育所,公立,120,5,11,8,1,1,0,,26
灘区,保育所,石屋川保育所,公立,100,2,9,3,5,0,1,,20
灘区,保育所,倉石保育所,公立,90,1,4,3,1,1,0,,10
灘区,保育所,やはた桜保育所,公立,144,4,35,5,4,4,1,,53
灘区,保育所,やはた桜保育所鶴甲分室,公立,30,,1,3,4,0,0,,8
灘区,保育所,誠佛保育園,私立,60,,2,0,0,1,0,,3
灘区,保育所,同朋保育園,私立,70,2,5,1,3,0,0,,11
灘区,保育所,ゆりか保育園,私立,90,1,5,2,1,0,0,,9
灘区,保育所,六甲ゆりかご保育園,私立,60,5,5,1,1,0,0,,12
灘区,保育所,花音つばさ保育園,私立,80,2,1,5,1,0,2,,11
灘区,保育所,（仮称）六甲道保育園,私立,60,1,4,1,7,2,0,,15
灘区,小規模保育事業,たんぽぽ,私立,12,,0,1,,,,,1
灘区,小規模保育事業,はらだ乳児園,私立,12,,0,1,,,,,1
灘区,小規模保育事業,コアラ愛児園,私立,19,0,0,0,,,,,0
灘区,小規模保育事業,めばえすくすくルーム,私立,12,,0,0,,,,,0
灘区,小規模保育事業,小規模保育園　六甲道,私立,19,0,0,2,,,,,2
灘区,小規模保育事業,保育ルーム　ちいさなCOCORO,私立,14,0,1,1,,,,,2
灘区,小規模保育事業,京進のほいくえんHOPPA灘園,私立,19,1,0,1,,,,,2
灘区,小規模保育事業,キッズパートナー王子公園,私立,19,0,0,0,,,,,0
灘区,小規模保育事業,ポピンズ小規模保育園HAT神戸,私立,19,0,0,0,,,,,0
灘区,小規模保育事業,（仮称）神戸六甲キッズバルーン,私立,14,0,0,1,,,,,1
灘区,小規模保育事業,（仮称）くじら保育園神戸六甲園,私立,19,0,0,0,,,,,0
長田区,幼保連携型認定こども園,認定こども園　名倉幼稚園,私立,40*,,0,0,0,0,0,,0
長田区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　神戸保育園,私立,70*,4,7,1,1,0,0,,13
長田区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　たから保育園,私立,110*,2,0,0,0,0,1,,3
長田区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　神楽こども園,私立,80*,0,4,3,2,1,0,,10
長田区,幼保連携型認定こども園,（仮称）神戸エンゼル認定こども園,私立,60*,0,1,3,1,1,0,,6
長田区,幼稚園型認定こども園,認定こども園　近田幼稚園,私立,130*,2,14,4,5,6,7,,38
長田区,保育所,長田保育所,公立,54,,3,1,2,0,0,,6
長田区,保育所,菅原保育所,公立,120,1,7,0,0,1,1,,10
長田区,保育所,本庄保育所,公立,90,0,1,1,4,0,1,,7
長田区,保育所,駒栄保育所,公立,139,4,4,0,2,2,1,,13
長田区,保育所,房王寺保育所,公立,142,1,3,0,2,0,1,,7
長田区,保育所,明泉寺保育所,公立,120,1,0,0,0,0,0,,1
長田区,保育所,長田東保育所,公立,54,,1,1,0,0,0,,2
長田区,保育所,浪松保育所,公立,120,,,,,,,,
長田区,保育所,しりいけ保育所,公立,120,2,2,1,0,0,0,,5
長田区,保育所,ふたば保育所,公立,139,2,7,3,1,0,0,,13
長田区,保育所,新生保育園,私立,60,0,5,0,0,1,1,,7
長田区,保育所,神視保育園,私立,110,,,4,0,0,1,,5
長田区,保育所,天隣乳児保育園,私立,50,2,2,,,,,,4
長田区,保育所,けやき保育園,私立,60,0,2,3,0,2,0,,7
長田区,保育所,みすまる保育園,私立,120,1,10,1,2,0,0,,14
長田区,保育所,五位の池保育園,私立,80,0,5,0,0,0,0,,5
長田区,保育所,ほそだ保育園,私立,140,1,8,5,3,5,1,,23
長田区,家庭的保育事業,豊福　赤ちゃんホーム,私立,4,1,,,,,,,1
長田区,小規模保育事業,こぐまプリスクール新長田園,私立,19,0,0,0,,,,,0
西区,幼保連携型認定こども園,幼保連携型認定こども園　岩岡こども園　　※分園を含む,※１私立,140*,0,6,2,3,1,1,,13
西区,幼保連携型認定こども園,幼保連携型認定こども園　おっこう山,私立,90*,2,5,0,2,1,1,,11
西区,幼保連携型認定こども園,幼保連携型認定こども園　あさひ保育園,私立,240*,0,1,1,1,0,1,,4
西区,幼保連携型認定こども園,幼保連携型認定こども園　YMCA保育園　　※分園を含む,む※２ 私立,150*,2,17,0,3,1,0,,23
西区,幼保連携型認定こども園,幼保連携型認定こども園　なごみ保育園,私立,90,0,3,1,2,0,0,,6
西区,幼保連携型認定こども園,幼保連携型認定こども園　西神戸YMCA保育園,私立,70,0,10,2,1,0,0,,13
西区,幼保連携型認定こども園,幼保連携型認定こども園　神戸潤和保育園,私立,60*,3,3,0,0,1,0,,7
西区,幼保連携型認定こども園,幼保連携型認定こども園　神戸学園都市YMCAこども園,私立,80,2,14,2,2,6,3,,29
西区,幼保連携型認定こども園,認定こども園　ななほし保育園,私立,60*,3,8,0,1,2,0,,14
西区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　あい保育園,私立,150,2,10,2,2,2,0,,18
西区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　あゆみ幼児園,私立,120,3,18,2,1,4,1,,29
西区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　同朋にこにここども園　※分園含む　※２,私立,188*,4,12,9,6,4,1,,36
西区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　わらべ保育園,私立,80,0,1,3,0,2,0,,6
西区,幼保連携型認定こども園,（仮称）幼保連携型認定こども園　有瀬幼稚園,私立,104*,1,1,1,3,2,0,,8
西区,幼稚園型認定こども園,認定こども園　さくらんぼ幼稚園,私立,55*,1,1,0,1,0,0,,3
西区,幼稚園型認定こども園,認定こども園　いぶき幼稚園,私立,60*,,4,6,7,2,1,,20
西区,幼稚園型認定こども園,認定こども園　桑ノ木幼稚園,私立,60*,2,4,1,2,4,0,,13
西区,保育所,玉津保育所,公立,120,2,3,0,1,6,0,,12
西区,保育所,押部谷保育所,公立,126,0,0,0,0,0,0,,0
西区,保育所,王塚台保育所,公立,120,1,3,1,0,4,0,,9
西区,保育所,日輪寺保育園,私立,120,2,4,0,3,3,0,,12
西区,保育所,弁天保育園,私立,90,0,3,2,1,0,2,,8
西区,保育所,神出保育園,私立,90,1,3,1,2,0,0,,7
西区,保育所,平野保育園,私立,150,3,7,3,3,2,1,,19
西区,保育所,出合保育園,私立,160,3,8,4,5,3,1,,24
西区,保育所,持子保育園,私立,90,0,2,0,2,0,0,,4
西区,保育所,竹の台保育園,私立,150,1,14,3,3,3,0,,24
西区,保育所,美賀多保育園,私立,210,2,11,5,2,4,1,,25
西区,保育所,まゆか保育園,私立,150,9,16,7,2,2,1,,37
西区,保育所,つぐみ保育園,私立,181,8,31,4,2,1,0,,46
西区,保育所,ひまわり保育園,私立,110,2,5,2,3,0,0,,12
西区,保育所,なかよし保育園　　※分園を含む,私立,120,4,7,0,0,1,0,,12
西区,保育所,あおぞら保育園,私立,130,0,3,2,0,2,1,,8
西区,保育所,枦谷つぐみ保育園,私立,90,2,1,2,0,0,0,,5
西区,保育所,枝吉保育所,私立,120,0,2,2,1,3,1,,9
西区,保育所,井吹北つぐみ保育園　　※分園を含む,私立,80,5,6,2,1,0,0,,14
西区,家庭的保育事業,山本　赤ちゃんホーム,私立,5,2,,,,,,,2
西区,家庭的保育事業,津吉　赤ちゃんホーム,私立,5,2,,,,,,,2
西区,小規模保育事業,こばとキンダ―ルーム,私立,19,0,0,0,,,,,0
西区,小規模保育事業,西神中央エンゼルホーム,私立,19,1,0,0,,,,,1
西区,小規模保育事業,YMCAちとせ保育ルーム,私立,12,,1,0,,,,,1
西区,小規模保育事業,学園都市駅前小規模保育園,私立,12,0,1,0,,,,,1
西区,小規模保育事業,小規模保育園ふわり池上,私立,12,0,1,0,,,,,1
西区,小規模保育事業,小規模保育つぐみ　House,私立,19,1,1,0,,,,,2
西区,小規模保育事業,キッズパートナー狩場台,私立,19,0,0,1,,,,,1
西区,事業所内保育事業,ひかりのくれよん,私立,19（内地域枠5）,0,0,0,,,,,0
西区,事業所内保育事業,事業所内保育事業　みどり保育園,私立,20（内地域枠5）,0,0,0,,,,,0
須磨区,幼保連携型認定こども園,幼保連携型認定こども園　若木保育園,私立,80*,2,5,1,0,0,0,,8
須磨区,幼保連携型認定こども園,幼保連携型認定こども園　大手幼稚園,私立,40*,,,3,1,2,0,,6
